#
# Neutron Star Mass Function
#
# Source: www3.mpifr-bonn.mpg.de/staff/pfreire/NS_masses.html
#         neutron stars in binary systems with mass error < 15%
#
# ARAA article: Ozel, F., and Freire, P. 2016, "Masses, radii,
#               and the equation of state of neutron stars," ARAA, 54, 401
#
# PDF calculated using Kernel Density Estimation (KDE) by author BSR
#
# Mass is in Msun
# PDF - probability density function, dimensionless 0..1
# lower98/upper98 - 98% confidence intervals
#
Mass          PDF          lower98      upper98
   2.525      0.11645E-01  0.11577E-04  0.37488E-01
   2.530      0.11364E-01  0.10265E-04  0.36755E-01
   2.535      0.11103E-01  0.91084E-05  0.36074E-01
   2.540      0.10863E-01  0.80932E-05  0.35444E-01
   2.545      0.10644E-01  0.72057E-05  0.34867E-01
   2.551      0.10445E-01  0.64337E-05  0.34341E-01
   2.556      0.10266E-01  0.57669E-05  0.33868E-01
   2.561      0.10108E-01  0.51960E-05  0.33447E-01
   2.566      0.99691E-02  0.47131E-05  0.33078E-01
   2.571      0.98504E-02  0.43113E-05  0.32762E-01
   2.577      0.97516E-02  0.39849E-05  0.32498E-01
