#
# White Dwarf Mass Function
# Kernel Density Estimate calculation from 1772 white dwarf masses
# Source: Kilic et al. 2020, ApJ, 898, 84, Tables 3-7
#
# PDF computed using Kernel Density Estimation (KDE) by author BSR
#
# Masses are in Msun
# PDF - probability density function, dimensionless 0..1
# lower98/upper98 - 98% confidence intervals
#
Mass          PDF          lower98      upper98
   1.156      0.90954E-01  0.66602E-01  0.11680    
   1.160      0.90070E-01  0.65616E-01  0.11598    
   1.163      0.89211E-01  0.64666E-01  0.11517    
   1.166      0.88373E-01  0.63785E-01  0.11436    
   1.169      0.87554E-01  0.63179E-01  0.11355    
   1.171      0.86752E-01  0.62587E-01  0.11274    
   1.174      0.85966E-01  0.61983E-01  0.11193    
   1.178      0.85193E-01  0.61281E-01  0.11111    
   1.181      0.84431E-01  0.60602E-01  0.11029    
   1.184      0.83679E-01  0.59944E-01  0.10946    
   1.186      0.82935E-01  0.59305E-01  0.10831    
   1.189      0.82199E-01  0.58684E-01  0.10753    
   1.192      0.81468E-01  0.58078E-01  0.10674    
   1.196      0.80741E-01  0.57486E-01  0.10593    
   1.199      0.80017E-01  0.56907E-01  0.10512    
   1.202      0.79296E-01  0.56339E-01  0.10427    
   1.204      0.78576E-01  0.55781E-01  0.10336    
   1.207      0.77857E-01  0.55161E-01  0.10244    
   1.211      0.77138E-01  0.54540E-01  0.10151    
   1.214      0.76418E-01  0.53928E-01  0.10058    
   1.217      0.75696E-01  0.53324E-01  0.99734E-01
   1.220      0.74973E-01  0.52727E-01  0.98885E-01
   1.222      0.74247E-01  0.52160E-01  0.98028E-01
   1.225      0.73519E-01  0.51640E-01  0.97162E-01
   1.229      0.72788E-01  0.51121E-01  0.96323E-01
   1.232      0.72053E-01  0.50601E-01  0.95406E-01
   1.235      0.71316E-01  0.50080E-01  0.94514E-01
   1.237      0.70574E-01  0.49558E-01  0.93613E-01
   1.240      0.69830E-01  0.49034E-01  0.92704E-01
   1.243      0.69081E-01  0.48509E-01  0.91786E-01
   1.247      0.68329E-01  0.47981E-01  0.90858E-01
   1.250      0.67574E-01  0.47452E-01  0.89923E-01
   1.253      0.66815E-01  0.46920E-01  0.88979E-01
   1.255      0.66053E-01  0.46386E-01  0.88027E-01
   1.258      0.65288E-01  0.45849E-01  0.87068E-01
   1.262      0.64519E-01  0.45310E-01  0.86101E-01
   1.265      0.63748E-01  0.44769E-01  0.85127E-01
   1.268      0.62975E-01  0.44226E-01  0.84147E-01
   1.271      0.62199E-01  0.43680E-01  0.83161E-01
   1.273      0.61422E-01  0.42963E-01  0.82170E-01
   1.276      0.60643E-01  0.42245E-01  0.81174E-01
   1.280      0.59862E-01  0.41530E-01  0.80173E-01
   1.283      0.59081E-01  0.40948E-01  0.79169E-01
   1.286      0.58299E-01  0.40404E-01  0.78161E-01
   1.289      0.57516E-01  0.39862E-01  0.77151E-01
   1.291      0.56734E-01  0.39321E-01  0.76139E-01
   1.294      0.55952E-01  0.38783E-01  0.75126E-01
   1.298      0.55172E-01  0.38246E-01  0.74111E-01
   1.301      0.54392E-01  0.37631E-01  0.73097E-01
   1.304      0.53614E-01  0.37012E-01  0.72084E-01
   1.306      0.52838E-01  0.36396E-01  0.71091E-01
   1.309      0.52065E-01  0.35783E-01  0.70123E-01
   1.312      0.51294E-01  0.35174E-01  0.69153E-01
   1.316      0.50527E-01  0.34569E-01  0.68184E-01
   1.319      0.49763E-01  0.33968E-01  0.67215E-01
   1.322      0.49004E-01  0.33371E-01  0.66247E-01
   1.324      0.48249E-01  0.32779E-01  0.65257E-01
   1.327      0.47499E-01  0.32191E-01  0.64243E-01
   1.331      0.46754E-01  0.31539E-01  0.63340E-01
   1.334      0.46014E-01  0.30829E-01  0.62401E-01
   1.337      0.45281E-01  0.30129E-01  0.61449E-01
   1.340      0.44555E-01  0.29440E-01  0.60502E-01
   1.342      0.43835E-01  0.28768E-01  0.59545E-01
   1.345      0.43122E-01  0.28278E-01  0.58581E-01
   1.349      0.42417E-01  0.27792E-01  0.57626E-01
   1.352      0.41720E-01  0.27312E-01  0.56683E-01
   1.355      0.41031E-01  0.26836E-01  0.55750E-01
   1.357      0.40350E-01  0.26366E-01  0.54828E-01
   1.360      0.39679E-01  0.25901E-01  0.53919E-01
   1.363      0.39017E-01  0.25442E-01  0.53021E-01
   1.367      0.38365E-01  0.24876E-01  0.52137E-01
   1.370      0.37722E-01  0.24310E-01  0.51266E-01
   1.373      0.37090E-01  0.23755E-01  0.50409E-01
