#
# Lane-Emden Polytrope
# n=0
#
  xi            theta         r/R*           rho/rho*
   1.51021      0.619877      0.616541       1.00000    
   1.51635      0.616780      0.619048       1.00000    
   1.52249      0.613671      0.621554       1.00000    
   1.52863      0.610549      0.624060       1.00000    
   1.53477      0.607415      0.626566       1.00000    
   1.54091      0.604268      0.629073       1.00000    
   1.54705      0.601108      0.631579       1.00000    
   1.55319      0.597936      0.634085       1.00000    
   1.55932      0.594751      0.636591       1.00000    
   1.56546      0.591554      0.639098       1.00000    
   1.57160      0.588344      0.641604       1.00000    
   1.57774      0.585122      0.644110       1.00000    
   1.58388      0.581887      0.646617       1.00000    
   1.59002      0.578640      0.649123       1.00000    
   1.59616      0.575380      0.651629       1.00000    
   1.60230      0.572107      0.654135       1.00000    
   1.60844      0.568822      0.656642       1.00000    
   1.61458      0.565524      0.659148       1.00000    
   1.62072      0.562214      0.661654       1.00000    
   1.62685      0.558891      0.664160       1.00000    
   1.63299      0.555556      0.666667       1.00000    
   1.63913      0.552208      0.669173       1.00000    
   1.64527      0.548847      0.671679       1.00000    
   1.65141      0.545474      0.674185       1.00000    
   1.65755      0.542088      0.676692       1.00000    
   1.66369      0.538690      0.679198       1.00000    
   1.66983      0.535279      0.681704       1.00000    
   1.67597      0.531856      0.684211       1.00000    
   1.68211      0.528420      0.686717       1.00000    
   1.68824      0.524972      0.689223       1.00000    
   1.69438      0.521511      0.691729       1.00000    
   1.70052      0.518037      0.694236       1.00000    
   1.70666      0.514551      0.696742       1.00000    
   1.71280      0.511052      0.699248       1.00000    
   1.71894      0.507541      0.701754       1.00000    
   1.72508      0.504017      0.704261       1.00000    
   1.73122      0.500481      0.706767       1.00000    
   1.73736      0.496932      0.709273       1.00000    
   1.74350      0.493370      0.711779       1.00000    
   1.74964      0.489796      0.714286       1.00000    
   1.75577      0.486209      0.716792       1.00000    
   1.76191      0.482610      0.719298       1.00000    
   1.76805      0.478998      0.721804       1.00000    
   1.77419      0.475374      0.724311       1.00000    
   1.78033      0.471737      0.726817       1.00000    
   1.78647      0.468087      0.729323       1.00000    
   1.79261      0.464425      0.731830       1.00000    
   1.79875      0.460751      0.734336       1.00000    
   1.80489      0.457064      0.736842       1.00000    
   1.81103      0.453364      0.739348       1.00000    
   1.81717      0.449652      0.741855       1.00000    
   1.82330      0.445927      0.744361       1.00000    
   1.82944      0.442189      0.746867       1.00000    
   1.83558      0.438439      0.749373       1.00000    
   1.84172      0.434677      0.751880       1.00000    
   1.84786      0.430902      0.754386       1.00000    
   1.85400      0.427114      0.756892       1.00000    
   1.86014      0.423314      0.759399       1.00000    
   1.86628      0.419501      0.761905       1.00000    
   1.87242      0.415676      0.764411       1.00000    
   1.87856      0.411838      0.766917       1.00000    
   1.88470      0.407987      0.769424       1.00000    
   1.89083      0.404124      0.771930       1.00000    
   1.89697      0.400249      0.774436       1.00000    
   1.90311      0.396361      0.776942       1.00000    
   1.90925      0.392460      0.779449       1.00000    
   1.91539      0.388547      0.781955       1.00000    
   1.92153      0.384621      0.784461       1.00000    
   1.92767      0.380682      0.786967       1.00000    
   1.93381      0.376731      0.789474       1.00000    
