# 14N(p,gamma)15O S-factor potential model data
# Source: Xu et al. 2013
#
# data = SC87, IM05, RU05, BE06b, LE06b
#
# Units:
#  E - keV
#  S - keV barn
#
     E              S              S_min          S_max
     1.8300e+02     2.2473e+00     2.0701e+00     2.4245e+00
     1.8350e+02     2.2575e+00     2.0801e+00     2.4348e+00
     1.8400e+02     2.2680e+00     2.0905e+00     2.4455e+00
     1.8450e+02     2.2788e+00     2.1011e+00     2.4565e+00
     1.8500e+02     2.2897e+00     2.1119e+00     2.4676e+00
     1.8550e+02     2.3008e+00     2.1228e+00     2.4789e+00
     1.8600e+02     2.3124e+00     2.1341e+00     2.4906e+00
     1.8650e+02     2.3241e+00     2.1457e+00     2.5025e+00
     1.8700e+02     2.3360e+00     2.1574e+00     2.5146e+00
     1.8750e+02     2.3482e+00     2.1694e+00     2.5270e+00
     1.8800e+02     2.3608e+00     2.1818e+00     2.5399e+00
     1.8850e+02     2.3737e+00     2.1944e+00     2.5529e+00
     1.8900e+02     2.3867e+00     2.2072e+00     2.5661e+00
     1.8950e+02     2.4001e+00     2.2204e+00     2.5798e+00
     1.9000e+02     2.4139e+00     2.2340e+00     2.5939e+00
     1.9050e+02     2.4279e+00     2.2477e+00     2.6081e+00
     1.9100e+02     2.4422e+00     2.2617e+00     2.6226e+00
     1.9150e+02     2.4570e+00     2.2763e+00     2.6376e+00
     1.9200e+02     2.4720e+00     2.2911e+00     2.6530e+00
     1.9250e+02     2.4874e+00     2.3061e+00     2.6686e+00
     1.9300e+02     2.5032e+00     2.3217e+00     2.6847e+00
     1.9350e+02     2.5194e+00     2.3376e+00     2.7012e+00
     1.9400e+02     2.5359e+00     2.3538e+00     2.7180e+00
     1.9450e+02     2.5528e+00     2.3704e+00     2.7352e+00
     1.9500e+02     2.5704e+00     2.3877e+00     2.7531e+00
     1.9550e+02     2.5882e+00     2.4051e+00     2.7712e+00
     1.9600e+02     2.6064e+00     2.4230e+00     2.7898e+00
     1.9650e+02     2.6252e+00     2.4414e+00     2.8089e+00
     1.9700e+02     2.6445e+00     2.4604e+00     2.8286e+00
     1.9750e+02     2.6642e+00     2.4797e+00     2.8487e+00
     1.9800e+02     2.6843e+00     2.4994e+00     2.8692e+00
     1.9850e+02     2.7052e+00     2.5200e+00     2.8905e+00
     1.9900e+02     2.7265e+00     2.5408e+00     2.9122e+00
     1.9950e+02     2.7482e+00     2.5621e+00     2.9343e+00
     2.0000e+02     2.7707e+00     2.5842e+00     2.9573e+00
     2.0050e+02     2.7939e+00     2.6069e+00     2.9809e+00
     2.0100e+02     2.8175e+00     2.6300e+00     3.0049e+00
     2.0150e+02     2.8418e+00     2.6539e+00     3.0297e+00
     2.0200e+02     2.8669e+00     2.6785e+00     3.0553e+00
     2.0250e+02     2.8926e+00     2.7037e+00     3.0815e+00
     2.0300e+02     2.9187e+00     2.7293e+00     3.1081e+00
     2.0350e+02     2.9462e+00     2.7562e+00     3.1362e+00
     2.0400e+02     2.9741e+00     2.7836e+00     3.1646e+00
     2.0450e+02     3.0026e+00     2.8115e+00     3.1937e+00
     2.0500e+02     3.0323e+00     2.8406e+00     3.2239e+00
     2.0550e+02     3.0629e+00     2.8706e+00     3.2552e+00
     2.0600e+02     3.0940e+00     2.9011e+00     3.2869e+00
     2.0650e+02     3.1261e+00     2.9326e+00     3.3197e+00
