#
# Lane-Emden Polytrope
# n=1.5
#
  xi            theta         r/R*           rho/rho*
   2.58235      0.288116      0.706767      0.926514    
   2.59151      0.285070      0.709273      0.911854    
   2.60066      0.282032      0.711779      0.897320    
   2.60982      0.279004      0.714286      0.882906    
   2.61898      0.275984      0.716792      0.868611    
   2.62814      0.272973      0.719298      0.854430    
   2.63729      0.269971      0.721804      0.840376    
   2.64645      0.266978      0.724311      0.826440    
   2.65561      0.263994      0.726817      0.812625    
   2.66476      0.261019      0.729323      0.798930    
   2.67392      0.258054      0.731830      0.785354    
   2.68308      0.255097      0.734336      0.771892    
   2.69224      0.252151      0.736842      0.758556    
   2.70139      0.249213      0.739348      0.745340    
   2.71055      0.246285      0.741855      0.732244    
   2.71971      0.243367      0.744361      0.719267    
   2.72887      0.240458      0.746867      0.706411    
   2.73802      0.237558      0.749373      0.693674    
   2.74718      0.234669      0.751880      0.681057    
   2.75634      0.231789      0.754386      0.668554    
   2.76549      0.228919      0.756892      0.656176    
   2.77465      0.226058      0.759399      0.643919    
   2.78381      0.223207      0.761905      0.631775    
   2.79297      0.220367      0.764411      0.619751    
   2.80212      0.217536      0.766917      0.607847    
   2.81128      0.214715      0.769424      0.596064    
   2.82044      0.211904      0.771930      0.584398    
   2.82960      0.209103      0.774436      0.572850    
   2.83875      0.206313      0.776942      0.561421    
   2.84791      0.203532      0.779449      0.550109    
   2.85707      0.200762      0.781955      0.538916    
   2.86622      0.198001      0.784461      0.527839    
   2.87538      0.195251      0.786967      0.516881    
   2.88454      0.192511      0.789474      0.506039    
   2.89370      0.189782      0.791980      0.495315    
   2.90285      0.187063      0.794486      0.484708    
   2.91201      0.184354      0.796992      0.474218    
   2.92117      0.181655      0.799499      0.463844    
   2.93033      0.178967      0.802005      0.453586    
   2.93948      0.176290      0.804511      0.443444    
   2.94864      0.173622      0.807018      0.433418    
   2.95780      0.170965      0.809524      0.423509    
   2.96695      0.168319      0.812030      0.413713    
   2.97611      0.165683      0.814536      0.404034    
   2.98527      0.163058      0.817043      0.394469    
   2.99443      0.160443      0.819549      0.385019    
   3.00358      0.157839      0.822055      0.375684    
   3.01274      0.155246      0.824561      0.366462    
   3.02190      0.152663      0.827068      0.357355    
   3.03105      0.150091      0.829574      0.348360    
   3.04021      0.147529      0.832080      0.339481    
   3.04937      0.144978      0.834586      0.330713    
   3.05853      0.142437      0.837093      0.322059    
   3.06768      0.139908      0.839599      0.313517    
   3.07684      0.137389      0.842105      0.305089    
   3.08600      0.134880      0.844612      0.296771    
   3.09516      0.132383      0.847118      0.288567    
   3.10431      0.129896      0.849624      0.280473    
   3.11347      0.127420      0.852130      0.272492    
   3.12263      0.124954      0.854637      0.264621    
   3.13178      0.122499      0.857143      0.256862    
   3.14094      0.120055      0.859649      0.249214    
   3.15010      0.117622      0.862155      0.241675    
   3.15926      0.115199      0.864662      0.234247    
   3.16841      0.112788      0.867168      0.226930    
   3.17757      0.110386      0.869674      0.219722    
   3.18673      0.107996      0.872180      0.212624    
   3.19589      0.105616      0.874687      0.205635    
   3.20504      0.103248      0.877193      0.198756    
   3.21420      0.100889      0.879699      0.191985    
   3.22336      0.985419E-01  0.882205      0.185324    
   3.23251      0.962051E-01  0.884712      0.178771    
   3.24167      0.938791E-01  0.887218      0.172327    
   3.25083      0.915637E-01  0.889724      0.165991    
   3.25999      0.892591E-01  0.892231      0.159764    
   3.26914      0.869651E-01  0.894737      0.153645    
   3.27830      0.846818E-01  0.897243      0.147633    
   3.28746      0.824091E-01  0.899749      0.141730    
   3.29662      0.801471E-01  0.902256      0.135935    
   3.30577      0.778958E-01  0.904762      0.130248    
   3.31493      0.756550E-01  0.907268      0.124669    
   3.32409      0.734249E-01  0.909774      0.119197    
   3.33324      0.712054E-01  0.912281      0.113833    
   3.34240      0.689964E-01  0.914787      0.108577    
   3.35156      0.667979E-01  0.917293      0.103429    
   3.36072      0.646101E-01  0.919800      0.983896E-01
   3.36987      0.624327E-01  0.922306      0.934584E-01
   3.37903      0.602658E-01  0.924812      0.886350E-01
   3.38819      0.581095E-01  0.927318      0.839207E-01
   3.39735      0.559635E-01  0.929825      0.793154E-01
   3.40650      0.538280E-01  0.932331      0.748186E-01
   3.41566      0.517029E-01  0.934837      0.704320E-01
   3.42482      0.495882E-01  0.937343      0.661556E-01
   3.43397      0.474838E-01  0.939850      0.619895E-01
   3.44313      0.453898E-01  0.942356      0.579343E-01
   3.45229      0.433060E-01  0.944862      0.539910E-01
   3.46145      0.412325E-01  0.947368      0.501602E-01
   3.47060      0.391693E-01  0.949875      0.464427E-01
   3.47976      0.371163E-01  0.952381      0.428397E-01
   3.48892      0.350734E-01  0.954887      0.393520E-01
   3.49808      0.330408E-01  0.957393      0.359811E-01
   3.50723      0.310182E-01  0.959900      0.327284E-01
   3.51639      0.290056E-01  0.962406      0.295953E-01
   3.52555      0.270032E-01  0.964912      0.265841E-01
   3.53470      0.250107E-01  0.967419      0.236967E-01
   3.54386      0.230282E-01  0.969925      0.209359E-01
   3.55302      0.210557E-01  0.972431      0.183043E-01
   3.56218      0.190930E-01  0.974937      0.158056E-01
   3.57133      0.171401E-01  0.977444      0.134437E-01
   3.58049      0.151971E-01  0.979950      0.112238E-01
   3.58965      0.132638E-01  0.982456      0.915173E-02
   3.59881      0.113403E-01  0.984962      0.723491E-02
   3.60796      0.942638E-02  0.987469      0.548298E-02
   3.61712      0.752210E-02  0.989975      0.390848E-02
   3.62628      0.562733E-02  0.992481      0.252902E-02
   3.63543      0.374212E-02  0.994987      0.137144E-02
   3.64459      0.186636E-02  0.997494      0.483051E-03
   3.65375      0.00000       1.00000       0.00000    
