MG,BP-RP0,MG0
15.025818,2.167919,8.675818
17.327484,2.85656,10.977484
11.008652,0.840952,4.658652
13.829074,1.719297,7.479074
11.67919,0.968915,5.32919
16.735142,2.719345,10.385142
15.378233,2.286803,9.028233
16.13058,2.718802,9.78058
17.677649,2.915039,11.327649
14.529148,2.004531,8.179148
13.606642,1.605756,7.256642
16.309242,2.804161,9.959242
17.010145,2.786634,10.660145
12.512375,1.232406,6.162375
9.235237,0.546147,2.885237
16.491255,2.715339,10.141255
15.7991,2.440029,9.4491
16.67051,2.818612,10.32051
17.508781,2.779657,11.158781
12.911443,1.645549,6.561443
11.629719,1.017613,5.279719
8.363517,0.362925,2.013517
17.847036,2.89411,11.497036
17.232876,3.033301,10.882876
8.761826,0.444832,2.411826
10.40414,0.861843,4.05414
16.471464,2.728575,10.121464
17.15121,2.897873,10.80121
16.88476,2.870501,10.53476
15.133252,2.36871,8.783252
16.086302,2.67307,9.736302
16.214836,2.711261,9.864836
15.499498,2.35475,9.149498
10.407047,0.712524,4.057047
17.356438,2.886406,11.006438
16.414349,2.774016,10.064349
11.53983,0.93009,5.18983
17.255264,2.894915,10.905264
12.566905,1.224269,6.216905
17.872585,3.13575,11.522585
