#  
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-07-12T23:48:21 [V1.99+ (14-Oct-2013)]
#
# nav=cat:J/AcA/49/223&tab:{J/AcA/49/223/lmc_sc}&key:source=J/AcA/49/223/lmc_sc&HTTPPRM:&
# source=J/AcA/49/223/lmc_sc
# RESOURCE=yCat_120490223
# Name: J/AcA/49/223
# Title: BVI photometry of OGLE LMC Cepheids (Udalski+, 1999)
# Table J_AcA_49_223_lmc_sc:
# Name: J/AcA/49/223/lmc_sc
# Title: *Catalog of Cepheids from the LMC_SC fields
#---Details of Columns:
#    Field      (a8)    LMC-SC field designation (LMC-SC) [ucd=obs.field]
#    Seq        (I6)    Sequential number in the field [ucd=meta.id]
#    Per (d)    (F8.5)  Period [ucd=time.period]
#    Imag (mag) (F6.3)  ? Mean I magnitude [ucd=phot.mag;em.opt.I]
#    Type       (A2)    Classification type (1) [ucd=meta.code;src.var]
Field     Seq    Per     Imag   Type
LMC-SC5  118857  2.78684 15.491 FU
LMC-SC5  118861  2.99676 15.445 FU
LMC-SC5  124645  3.34851 15.367 FU
LMC-SC5  131209  4.48370 14.867 FU
LMC-SC5  131307  1.74751 15.677 FO
LMC-SC5  138031  2.68111 14.814 FO
LMC-SC5  138033  4.06416 15.153 FU
LMC-SC5  138037  5.49220 14.731 FU
LMC-SC5  145264  5.73165 14.408 FU
LMC-SC5  145323  2.53844 15.682 FU
LMC-SC5  169480  1.64317 15.665 FO
LMC-SC5  193998  1.31288 16.126 FU
LMC-SC5  201322  4.93953 14.756 FU
LMC-SC5  201368  1.57432 15.818 FO
LMC-SC5  220851 19.16700 13.138 FU
LMC-SC5  238336  3.40961 15.299 FU
LMC-SC5  251617  2.07537 16.010 FU
LMC-SC5  267078  3.94091 14.283 FO
LMC-SC5  267138  6.02080 14.418 FU
LMC-SC5  267140  4.82018 14.787 FU
LMC-SC5  275320  3.66130 14.356 FO
LMC-SC5  275412  2.37496 15.668 FU
LMC-SC5  283844  6.37661 14.563 FO
LMC-SC5  300245  2.35853 14.958 FO
LMC-SC5  300293  1.44358 15.754 FO
LMC-SC5  315434 13.12514 13.781 FU
LMC-SC5  323141  1.96668 17.807 FA
LMC-SC5  327787  3.89853 14.909 FU
LMC-SC5  338247  3.32076 15.388 FU
LMC-SC5  343036  5.00672 14.835 FU
LMC-SC5  349510  2.43523 14.860 FO
