 time        mag       err
4018.81020   14.813    0.006
4023.84229   14.954    0.006
4026.74864   14.839    0.006
4040.84855   14.963    0.006
4042.86429   14.909    0.006
4046.73927   14.912    0.006
4048.82882   14.892    0.006
4052.67097   14.906    0.006
4056.71550   14.897    0.006
4058.65356   14.922    0.006
4063.64759   15.013    0.006
4066.64538   14.955    0.006
4069.71101   14.862    0.006
4071.63962   14.983    0.006
4076.71188   14.801    0.006
4079.72459   14.954    0.006
4083.64150   14.956    0.006
4085.70678   14.916    0.006
4092.82410   14.833    0.006
4104.87092   14.882    0.006
4112.69561   14.869    0.006
4117.68446   15.002    0.006
4121.66051   15.000    0.006
4124.74335   14.929    0.006
4129.75593   15.026    0.006
4142.61494   14.826    0.006
4150.60341   14.791    0.006
4155.51674   14.866    0.006
4166.54560   14.796    0.006
4196.49509   14.963    0.006
4341.87111   14.805    0.006
4347.82102   14.998    0.006
4351.86695   15.005    0.006
4357.87887   14.863    0.006
4363.80351   14.968    0.006
4366.85409   14.999    0.006
4369.89463   14.904    0.006
4372.79756   14.795    0.006
4376.88794   14.820    0.006
4379.89436   14.833    0.006
4386.75550   14.996    0.006
4393.76644   14.952    0.006
4398.84267   14.990    0.006
4403.84909   14.791    0.006
4411.77803   14.803    0.006
4411.83973   14.810    0.006
4418.72885   14.860    0.006
4422.82544   14.837    0.006
4429.75668   15.016    0.006
4432.69361   14.964    0.006
4436.73301   14.985    0.006
4439.79870   14.890    0.006
4443.66839   14.891    0.006
4448.82239   15.000    0.006
4451.66260   14.914    0.006
4455.66139   14.918    0.006
4457.71692   14.846    0.006
4460.74699   15.011    0.006
4464.70967   15.006    0.006
4467.70218   14.970    0.006
4471.70390   14.966    0.006
4476.67094   14.953    0.006
4480.67072   14.933    0.006
4484.74976   14.911    0.006
4488.67228   14.895    0.006
4493.67441   14.817    0.006
4498.65269   14.948    0.006
4501.64573   14.824    0.006
4506.58384   14.955    0.006
4508.59383   14.804    0.006
4510.67312   14.970    0.006
4516.62286   14.792    0.006
4519.69439   14.933    0.006
4521.53803   14.898    0.006
4530.60267   15.015    0.006
4532.63096   14.799    0.006
4537.59260   14.961    0.006
4540.64377   14.839    0.006
