Mass,Radius
0.9395,10.3828
2.4738,11.4643
1.2442,11.2331
1.4847,10.8385
0.969,10.3026
1.1946,11.4008
1.0746,10.8841
1.7699,10.8292
2.0952,8.4727
2.6905,12.9479
1.7443,12.3212
1.5262,11.4593
1.0222,10.2179
1.1243,12.5466
1.0646,10.5037
1.0422,10.4065
1.0324,10.6801
0.9817,10.6441
1.5153,11.3276
1.2113,10.7592
2.1136,8.6014
1.6326,10.7991
1.7172,10.3108
1.14,10.6958
1.4171,10.8574
1.468,11.4135
1.4351,10.851
1.9068,10.0406
1.3148,11.0045
1.8279,10.5484
1.9647,8.6453
2.4126,9.3442
2.0454,9.6351
1.7758,10.995
1.5265,11.6306
1.1307,10.493
1.8242,11.6286
1.1926,11.358
1.0271,10.601
1.175,10.9516
1.1963,10.9167
1.7948,12.3468
1.0024,11.9837
1.0005,11.0702
0.9353,10.5308
2.1551,10.1623
1.805,10.6821
1.1533,10.7358
1.168,11.0014
1.0157,10.6703
1.5763,11.9039
1.2457,10.754
2.3702,11.7767
1.4931,10.8312
1.3172,10.9445
1.5615,11.2403
1.4998,11.0153
1.5299,11.1027
2.287,9.4828
0.975,10.213
1.0827,10.4976
1.8296,11.0944
0.9568,10.1456
0.9447,10.4567
1.1809,11.0467
1.2222,11.6441
1.6926,11.0723
1.0839,11.1489
1.0473,10.4871
2.1843,11.0302
1.113,11.3784
1.2481,10.9123
1.0943,10.9406
0.9313,10.1755
1.0574,10.3717
1.0679,10.8115
1.9958,9.9
2.1124,9.4755
1.1968,11.1453
2.262,10.0789
1.2553,10.8013
1.3667,11.0277
1.5833,11.0471
1.1888,10.7716
1.5209,11.931
1.1166,10.6292
1.1846,10.8581
0.9718,10.6527
1.2742,10.8351
1.9916,9.3146
1.4149,11.7132
1.1544,10.6819
1.7517,10.8912
1.219,11.7276
1.0583,11.5907
1.0239,11.2304
1.7017,12.6363
1.8079,10.8295
2.1822,10.9628
1.8741,9.7391
1.1367,10.7744
1.0556,11.0918
1.2242,10.9816
1.1265,10.8278
0.9597,10.2218
2.0482,9.4301
1.427,11.0157
1.5505,11.1081
1.4616,10.7997
1.5305,11.2693
1.8731,11.7849
1.3626,11.6185
1.2736,10.6701
2.381,9.4048
1.0189,10.3043
0.8944,9.945
0.9868,10.2936
0.9591,10.2699
2.2466,8.3365
2.1225,9.0876
2.023,8.9475
1.3793,11.3001
1.2439,11.2756
0.9402,10.7628
1.1503,10.6676
2.46,10.7705
1.131,10.4568
1.3767,10.8224
1.4769,11.7541
1.8315,11.0885
1.1357,10.8609
1.0517,10.9254
1.3291,11.5098
1.3756,10.8431
1.1864,11.0732
1.234,10.7276
0.9312,10.3043
1.4941,10.8694
1.2041,11.0481
1.4141,10.9907
1.9626,10.0751
1.3103,11.1055
1.4196,12.0681
1.3391,11.6513
0.9865,10.4907
1.1601,10.7308
1.0455,10.4316
1.0888,11.1091
1.248,10.7281
1.2656,10.8835
2.0934,7.9568
1.5197,10.6974
1.28,11.0733
1.3258,12.0622
1.5358,11.0823
1.1766,10.5962
3.0129,12.4119
1.7596,10.2947
1.7271,10.56
1.4786,10.8982
1.618,10.9459
1.1833,12.0185
1.1803,11.145
1.0072,10.5303
1.0606,10.4974
1.0328,10.4842
1.149,10.586
1.0921,10.9511
1.0637,10.443
1.0668,12.0061
2.3989,12.3997
1.9991,9.0569
1.8268,11.4947
1.2189,11.9872
1.0036,11.3987
1.018,10.3098
1.0821,10.6268
1.0097,10.8746
1,10.2641
1.2743,10.7579
1.1232,11.1604
1.7528,13.2342
0.9652,10.5183
1.7818,10.4304
1.9085,11.6899
1.1673,11.3964
2.6198,12.675
1.0646,10.419
1.6572,12.5793
1.2407,11.0995
2.5652,10.2107
1.5953,10.9584
1.7536,11.8194
1.2038,11.5613
2.1269,11.3852
1.1066,10.8009
1.2209,10.7914
1.3621,10.902
1.553,11.0853
2.2148,9.1686
2.017,11.401
1.2168,10.8712
1.3022,10.9916
1.9761,10.4398
1.1959,10.8548
1.1678,10.7854
1.4747,11.1679
1.2421,10.9994
1.6553,10.7997
1.1639,10.9238
1.1919,11.2097
1.4937,11.8048
1.3515,10.979
1.8058,10.7877
1.2652,10.8562
1.5278,11.2967
1.0346,10.3681
1.4877,11.1827
1.8028,10.3227
1.1151,10.8078
1.4452,11.4023
0.9341,9.9524
2.2012,8.0936
2.012,9.8741
2.1527,9.4415
1.2962,10.9394
1.6694,10.8546
1.703,11.4414
1.1597,11.0332
1.5739,11.7903
1.2717,11.8671
1.1519,11.0712
1.0484,10.5243
0.9945,10.6549
1.1459,10.3746
1.1608,11.1195
0.9362,10.4438
1.0054,10.5719
0.9434,10.506
1.5186,10.9794
1.9836,8.0761
2.1698,9.655
0.9723,10.21
1.0746,10.963
1.0549,10.6474
1.1089,10.6972
1.1171,11.1767
0.8886,10.268
1.3769,11.3014
1.6708,10.9367
1.2207,10.5932
1.9043,11.5592
1.3734,11.5572
1.0609,10.7653
1.0615,10.9548
1.3999,11.5283
1.131,10.6062
1.0914,10.5028
1.0499,10.4694
0.936,10.0241
1.9338,9.7725
1.3841,10.9604
1.221,11.0596
1.0338,11.3457
1.2543,11.0504
1.5608,11.2133
1.529,10.5583
1.182,10.8709
1.4188,11.0801
1.5287,11.1682
1.1327,10.7229
1.3373,11.0059
1.2983,10.6949
1.0915,10.9819
1.3141,10.8874
0.9211,10.0634
0.945,9.9926
1.192,11.6838
3.257,13.799
1.8478,11.1863
1.8379,10.4532
0.9997,10.3417
1.5234,11.5137
0.9575,10.5673
2.1622,8.3437
2.4663,9.6136
0.8349,10.0871
1.2089,10.7084
1.3431,11.053
1.5831,11.1774
0.9912,10.9193
1.1409,10.6793
1.0189,10.7787
1.9636,11.4566
1.0446,10.8439
1.013,10.5297
1.0377,10.4535
1.5901,11.0562
0.9156,10.368
1.7274,11.7773
1.774,10.3415
1.6005,10.5386
1.7775,10.8551
1.0452,10.5005
1.4062,11.0029
