Mass,Radius
1.3146,10.5058
1.2703,6.664
1.3453,9.3723
1.2207,9.9619
1.0436,5.7189
1.1915,6.3064
1.0463,4.8819
1.2939,10.3596
1.2597,6.376
1.1355,9.575
1.0945,9.7325
1.1394,8.7543
1.0392,6.0124
1.0435,4.4581
1.2749,11.9782
0.9731,8.7869
1.1638,10.48
0.9925,4.5304
1.0964,9.4994
1.0818,7.5751
1.1564,11.1719
1.2431,10.8739
0.9831,5.6349
1.0227,9.1664
1.0812,9.3495
1.0144,4.3363
1.0245,7.3707
0.991,5.5428
1.0371,9.4473
1.1082,7.0144
1.0503,16.4968
1.0158,7.2898
1.2204,4.815
1.2792,6.9521
1.0754,8.1809
2.1914,21.5556
1.5878,11.4153
1.2507,8.6196
1.3159,10.5834
1.195,9.0389
1.2591,7.3165
1.3211,6.8605
1.4013,8.6961
1.1745,5.7237
1.3392,10.1465
1.3932,10.1779
1.1928,11.4284
1.4808,11.2588
1.1413,7.209
1.1881,6.8778
1.6851,12.2142
1.1254,8.224
1.3869,10.5556
1.2015,8.6127
1.271,10.4939
1.4489,10.1101
1.0999,8.2733
1.1565,8.0558
1.0742,8.0901
1.1068,8.919
1.2665,10.5062
1.4528,5.4793
1.1972,9.8403
1.2718,10.8473
1.1004,7.2936
1.0836,8.1221
1.0639,6.7494
1.3454,9.8659
1.3382,5.0111
1.1817,10.3397
1.1003,6.9283
1.1229,9.1605
1.1274,9.2072
1.0668,9.2259
1.088,5.2961
1.0486,9.6202
1.15,10.1961
1.1099,10.2485
1.3688,6.2933
1.0533,7.9546
1.0135,4.7493
1.0694,10.2025
1.0968,5.754
1.0305,8.3096
1.0655,9.0047
1.0316,5.6744
1.099,6.2341
1.0533,9.3394
1.0135,9.1319
1.4543,8.0346
0.974,6.7614
1.0707,5.8837
0.994,8.7345
1.0066,6.4357
1.5343,5.5336
1.5247,14.1676
1.6558,11.1683
1.1833,9.7007
1.1972,8.1977
1.1342,10.1309
1.6033,11.0112
1.0971,7.8417
1.2754,6.426
1.2921,8.7272
1.2498,12.6502
1.1286,8.3233
1.1009,7.2732
1.2504,8.3229
1.1106,7.7239
1.0921,10.4328
1.2643,8.9205
1.3361,9.2883
1.155,10.4258
1.1057,6.6862
1.235,11.9108
1.1605,8.5496
1.2132,9.1636
1.1131,7.5724
1.1196,7.6119
1.2188,11.9438
1.2047,8.7566
0.957,10.2241
1.1533,9.8825
1.0515,7.9792
