#
# Uniform-density and polytropic Sun models
# source: Ryden calculation
#
# units:
#  R/Rsun - dimensionless
#  uniRho - density in g/cm^3, uniform-density model
#  uniP - pressure in atm, uniform-density model
#  uniT - temperature in K, uniform-density model
#  polyRho - density in g/cm^3, polytropic model
#  polyP - pressure in atm, polytropic model
#  polyT - temperature in K, polytropic model
# 
R/Rsun        uniRho      uniP         uniT          polyRho     polyP        polyT
0.98327       1.4098      0.43789E+08  0.23222E+06  0.94260E-05   89.658       71684.    
0.98485       1.4098      0.39698E+08  0.21052E+06  0.69727E-05   59.982       64831.    
0.98628       1.4098      0.35980E+08  0.19081E+06  0.51580E-05   40.129       58632.    
0.98757       1.4098      0.32605E+08  0.17290E+06  0.38155E-05   26.846       53027.    
0.98875       1.4098      0.29540E+08  0.15665E+06  0.28224E-05   17.960       47957.    
0.98981       1.4098      0.26759E+08  0.14190E+06  0.20878E-05   12.016       43372.    
0.99078       1.4098      0.24236E+08  0.12852E+06  0.15444E-05   8.0384       39225.    
0.99165       1.4098      0.21948E+08  0.11639E+06  0.11424E-05   5.3776       35475.    
0.99244       1.4098      0.19873E+08  0.10539E+06  0.84507E-06   3.5976       32083.    
0.99316       1.4098      0.17992E+08   95413.      0.62512E-06   2.4068       29016.    
0.99381       1.4098      0.16288E+08   86375.      0.46241E-06   1.6101       26241.    
0.99440       1.4098      0.14744E+08   78186.      0.34205E-06   1.0771       23732.    
0.99493       1.4098      0.13345E+08   70767.      0.25302E-06  0.72059       21463.    
0.99541       1.4098      0.12077E+08   64047.      0.18716E-06  0.48206       19411.    
0.99585       1.4098      0.10930E+08   57962.      0.13844E-06  0.32249       17555.    
0.99625       1.4098      0.98908E+07   52451.      0.10241E-06  0.21574       15877.    
0.99660       1.4098      0.89499E+07   47461.      0.75752E-07  0.14433       14359.    
0.99693       1.4098      0.80980E+07   42944.      0.56035E-07  0.96552E-01   12986.    
0.99722       1.4098      0.73270E+07   38855.      0.41449E-07  0.64591E-01   11744.    
0.99749       1.4098      0.66291E+07   35154.      0.30660E-07  0.43210E-01   10621.    
0.99773       1.4098      0.59974E+07   31804.      0.22680E-07  0.28907E-01   9605.6    
0.99794       1.4098      0.54257E+07   28773.      0.16776E-07  0.19338E-01   8687.1    
0.99814       1.4098      0.49084E+07   26029.      0.12409E-07  0.12937E-01   7856.5    
0.99832       1.4098      0.44401E+07   23546.      0.91793E-08  0.86543E-02   7105.3    
0.99848       1.4098      0.40166E+07   21300.      0.67900E-08  0.57895E-02   6425.9    
0.99862       1.4098      0.36334E+07   19268.      0.50226E-08  0.38731E-02   5811.5    
0.99875       1.4098      0.32865E+07   17429.      0.37152E-08  0.25910E-02   5255.8    
0.99887       1.4098      0.29729E+07   15765.      0.27482E-08  0.17333E-02   4753.3    
0.99898       1.4098      0.26891E+07   14261.      0.20328E-08  0.11595E-02   4298.8    
0.99908       1.4098      0.24323E+07   12898.      0.15037E-08  0.77570E-03   3887.7    
0.99917       1.4098      0.22000E+07   11667.      0.11123E-08  0.51892E-03   3516.0    
0.99925       1.4098      0.19899E+07   10553.      0.82275E-09  0.34715E-03   3179.8    
0.99932       1.4098      0.17998E+07   9544.6      0.60859E-09  0.23223E-03   2875.8    
0.99938       1.4098      0.16279E+07   8632.5      0.45018E-09  0.15536E-03   2600.8    
0.99944       1.4098      0.14725E+07   7808.5      0.33300E-09  0.10393E-03   2352.1    
0.99950       1.4098      0.13317E+07   7062.1      0.24632E-09  0.69526E-04   2127.2    
0.99954       1.4098      0.12045E+07   6387.4      0.18220E-09  0.46511E-04   1923.8    
0.99959       1.4098      0.10893E+07   5776.6      0.13477E-09  0.31115E-04   1739.9    
0.99963       1.4098      0.98521E+06   5224.6      0.99693E-10  0.20815E-04   1573.5    
0.99966       1.4098      0.89111E+06   4725.6      0.73743E-10  0.13925E-04   1423.0    
0.99969       1.4098      0.80582E+06   4273.3      0.54548E-10  0.93151E-05   1287.0    
0.99972       1.4098      0.72895E+06   3865.7      0.40349E-10  0.62316E-05   1163.9    
0.99975       1.4098      0.65924E+06   3496.0      0.29846E-10  0.41687E-05   1052.6    
0.99977       1.4098      0.59614E+06   3161.4      0.22077E-10  0.27888E-05   951.98    
0.99980       1.4098      0.53918E+06   2859.3      0.16331E-10  0.18656E-05   860.95    
0.99982       1.4098      0.48757E+06   2585.6      0.12080E-10  0.12480E-05   778.63    
0.99983       1.4098      0.44107E+06   2339.0      0.89354E-11  0.83491E-06   704.18    
0.99985       1.4098      0.39890E+06   2115.4      0.66095E-11  0.55853E-06   636.85    
0.99986       1.4098      0.36082E+06   1913.4      0.48891E-11  0.37364E-06   575.95    
0.99988       1.4098      0.32636E+06   1730.7      0.36165E-11  0.24996E-06   520.88    
0.99989       1.4098      0.29504E+06   1564.6      0.26751E-11  0.16721E-06   471.08    
0.99990       1.4098      0.26688E+06   1415.3      0.19788E-11  0.11186E-06   426.03    
0.99991       1.4098      0.24138E+06   1280.1      0.14637E-11  0.74832E-07   385.30    
0.99992       1.4098      0.21825E+06   1157.4      0.10827E-11  0.50060E-07   348.46    
