G,BP-RP,MG
15.1021,0.3635,0.5071
19.2465,0.3642,4.6515
19.5748,0.3645,4.9798
19.9884,0.3658,5.3934
20.2639,0.3661,5.6689
20.1344,0.3676,5.5394
17.5236,0.3698,2.9286
19.8826,0.3703,5.2876
19.958,0.3709,5.363
18.8544,0.3714,4.2594
19.76,0.3722,5.165
16.4835,0.3725,1.8885
18.4574,0.3725,3.8624
20.433,0.3731,5.838
20.1417,0.3745,5.5467
20.2103,0.3749,5.6153
19.1432,0.3764,4.5482
20.3852,0.3765,5.7902
20.6737,0.3771,6.0787
20.3495,0.3783,5.7545
19.7727,0.3797,5.1777
20.0748,0.3799,5.4798
19.3522,0.3803,4.7572
20.7437,0.381,6.1487
19.0151,0.3824,4.4201
18.5683,0.3825,3.9733
19.8875,0.3832,5.2925
19.8555,0.3841,5.2605
18.2273,0.3845,3.6323
18.0419,0.3847,3.4469
19.2149,0.385,4.6199
20.6412,0.3865,6.0462
18.8637,0.387,4.2687
19.9235,0.3886,5.3285
18.54,0.3886,3.945
20.4078,0.3907,5.8128
19.2251,0.392,4.6301
20.3715,0.3928,5.7765
19.823,0.3934,5.228
15.3058,0.394,0.7108
20.3809,0.394,5.7859
20.7997,0.3942,6.2047
15.1125,0.3942,0.5175
19.6353,0.3943,5.0403
20.5844,0.3946,5.9894
19.8787,0.3951,5.2837
15.4579,0.3953,0.8629
19.155,0.3955,4.56
20.3357,0.3963,5.7407
19.4586,0.3965,4.8636
15.1079,0.3969,0.5129
20.0967,0.3989,5.5017
20.3095,0.3999,5.7145
20.3023,0.4005,5.7073
20.2083,0.4029,5.6133
16.2495,0.404,1.6545
19.9128,0.4059,5.3178
19.9982,0.4072,5.4032
15.3524,0.4074,0.7574
20.6717,0.4077,6.0767
19.3244,0.4081,4.7294
19.5623,0.4088,4.9673
19.6663,0.409,5.0713
20.2418,0.4093,5.6468
19.3241,0.4093,4.7291
20.6297,0.4104,6.0347
15.0744,0.4119,0.4794
20.1222,0.4128,5.5272
15.4487,0.4135,0.8537
20.6747,0.4139,6.0797
20.0089,0.4141,5.4139
20.0091,0.4152,5.4141
18.5367,0.4154,3.9417
15.1095,0.4161,0.5145
20.0874,0.4165,5.4924
20.3754,0.4172,5.7804
19.3749,0.4174,4.7799
15.7036,0.4175,1.1086
20.6595,0.4187,6.0645
17.5738,0.419,2.9788
20.4599,0.4193,5.8649
20.274,0.4193,5.679
20.0993,0.4201,5.5043
20.2036,0.4207,5.6086
20.0746,0.421,5.4796
19.1151,0.4217,4.5201
20.3632,0.422,5.7682
15.06,0.4233,0.465
19.3377,0.4242,4.7427
15.3244,0.4249,0.7294
19.9138,0.425,5.3188
19.1724,0.4257,4.5774
18.2401,0.4258,3.6451
19.5491,0.4279,4.9541
19.5297,0.4294,4.9347
20.2358,0.4295,5.6408
20.3636,0.4307,5.7686
18.2467,0.4314,3.6517
19.6078,0.4315,5.0128
20.3123,0.4316,5.7173
20.3705,0.4317,5.7755
20.3119,0.435,5.7169
20.3633,0.4353,5.7683
18.238,0.4359,3.643
20.4428,0.4362,5.8478
19.6484,0.4362,5.0534
19.5028,0.4363,4.9078
20.2413,0.4383,5.6463
20.5345,0.4388,5.9395
19.4878,0.4397,4.8928
20.0563,0.4398,5.4613
18.8046,0.4398,4.2096
20.7564,0.4401,6.1614
19.2098,0.4409,4.6148
20.531,0.4422,5.936
19.6402,0.4423,5.0452
19.8794,0.4427,5.2844
19.1903,0.4439,4.5953
19.1296,0.444,4.5346
19.4367,0.4441,4.8417
19.31,0.4446,4.715
19.8975,0.4448,5.3025
18.6492,0.4451,4.0542
20.4237,0.4453,5.8287
20.44,0.4455,5.845
19.8763,0.4458,5.2813
19.3719,0.4461,4.7769
20.4807,0.4467,5.8857
18.5765,0.4467,3.9815
19.6169,0.4469,5.0219
20.5908,0.447,5.9958
15.7035,0.4476,1.1085
18.7246,0.4478,4.1296
20.0362,0.4487,5.4412
19.794,0.4493,5.199
18.1927,0.4497,3.5977
20.3848,0.4499,5.7898
20.5406,0.4501,5.9456
20.721,0.4506,6.126
20.2565,0.4515,5.6615
20.2518,0.4524,5.6568
20.3807,0.4528,5.7857
17.7785,0.4536,3.1835
19.4262,0.4541,4.8312
20.2018,0.4544,5.6068
18.6941,0.4545,4.0991
19.144,0.4546,4.549
20.2653,0.4549,5.6703
15.1637,0.4549,0.5687
18.9806,0.4549,4.3856
19.7316,0.455,5.1366
19.3963,0.4551,4.8013
19.5883,0.4551,4.9933
19.3813,0.4555,4.7863
19.0085,0.4557,4.4135
19.1372,0.4569,4.5422
19.2732,0.4573,4.6782
20.4655,0.4578,5.8705
20.3622,0.4595,5.7672
18.9052,0.4596,4.3102
20.7048,0.4597,6.1098
18.7568,0.4599,4.1618
20.1205,0.4603,5.5255
19.5119,0.4612,4.9169
19.046,0.4617,4.451
20.0499,0.462,5.4549
19.9933,0.463,5.3983
19.3405,0.4631,4.7455
20.1237,0.4638,5.5287
18.7271,0.4657,4.1321
20.385,0.4658,5.79
20.3549,0.4659,5.7599
20.3815,0.466,5.7865
20.4415,0.4661,5.8465
19.062,0.467,4.467
18.8521,0.4674,4.2571
20.575,0.4678,5.98
19.9932,0.4678,5.3982
19.7401,0.4679,5.1451
20.4702,0.4683,5.8752
19.4894,0.4688,4.8944
20.3887,0.469,5.7937
19.2818,0.4695,4.6868
20.0135,0.4697,5.4185
15.0808,0.4699,0.4858
19.599,0.47,5.004
19.4022,0.4701,4.8072
18.639,0.4705,4.044
20.8077,0.4707,6.2127
20.4658,0.4709,5.8708
20.2388,0.4712,5.6438
20.7279,0.4717,6.1329
16.5713,0.4719,1.9763
18.6437,0.472,4.0487
19.4411,0.4722,4.8461
20.3841,0.4728,5.7891
18.8763,0.473,4.2813
20.4152,0.4737,5.8202
18.6108,0.4748,4.0158
19.9849,0.475,5.3899
19.6602,0.4753,5.0652
18.9725,0.476,4.3775
19.8617,0.4762,5.2667
18.837,0.4765,4.242
19.7043,0.4767,5.1093
20.2381,0.4768,5.6431
20.3542,0.4769,5.7592
18.5547,0.4769,3.9597
19.9435,0.477,5.3485
19.2949,0.4775,4.6999
19.2622,0.4782,4.6672
20.0249,0.4783,5.4299
19.5917,0.4784,4.9967
19.8323,0.479,5.2373
19.0576,0.4792,4.4626
20.4212,0.4794,5.8262
15.1032,0.4796,0.5082
18.9398,0.4799,4.3448
18.27,0.4804,3.675
20.1146,0.4811,5.5196
20.5856,0.4812,5.9906
18.583,0.4813,3.988
20.1728,0.4814,5.5778
19.6842,0.4816,5.0892
19.1675,0.4816,4.5725
19.0051,0.4825,4.4101
19.914,0.4832,5.319
18.4689,0.4836,3.8739
20.1439,0.4838,5.5489
18.141,0.4843,3.546
19.2451,0.4845,4.6501
18.9531,0.485,4.3581
19.3991,0.4854,4.8041
20.2087,0.4861,5.6137
19.4646,0.4864,4.8696
20.3961,0.4867,5.8011
20.8154,0.4872,6.2204
19.8053,0.4876,5.2103
19.5158,0.4876,4.9208
18.5657,0.4882,3.9707
20.4284,0.4884,5.8334
19.6114,0.4887,5.0164
20.571,0.4888,5.976
19.1166,0.4889,4.5216
19.3378,0.4895,4.7428
20.105,0.4898,5.51
19.7815,0.4901,5.1865
19.4315,0.4903,4.8365
19.7467,0.4913,5.1517
20.3417,0.492,5.7467
20.4997,0.492,5.9047
18.5944,0.4927,3.9994
20.1636,0.4928,5.5686
18.5917,0.493,3.9967
20.1889,0.4931,5.5939
20.7475,0.4933,6.1525
20.3807,0.4933,5.7857
19.6533,0.4935,5.0583
20.5837,0.4937,5.9887
20.5386,0.4937,5.9436
19.9392,0.4941,5.3442
18.8151,0.4943,4.2201
20.0866,0.4944,5.4916
18.8912,0.4946,4.2962
18.4873,0.4947,3.8923
18.9812,0.4951,4.3862
18.6168,0.4952,4.0218
20.6079,0.4956,6.0129
18.6605,0.4956,4.0655
20.1488,0.4959,5.5538
20.8564,0.4963,6.2614
19.1967,0.4963,4.6017
19.3902,0.4964,4.7952
18.967,0.4976,4.372
20.4938,0.4986,5.8988
19.7513,0.4996,5.1563
20.121,0.4997,5.526
19.782,0.4999,5.187
19.7089,0.4999,5.1139
20.2053,0.5003,5.6103
18.9743,0.5004,4.3793
19.2757,0.501,4.6807
19.5403,0.5013,4.9453
19.445,0.5014,4.85
20.2102,0.5015,5.6152
19.3706,0.502,4.7756
19.5965,0.5022,5.0015
18.3424,0.5023,3.7474
18.9191,0.5024,4.3241
20.7462,0.5027,6.1512
18.8047,0.5029,4.2097
18.619,0.5031,4.024
20.318,0.5034,5.723
20.5498,0.5036,5.9548
19.2405,0.5036,4.6455
20.6498,0.5037,6.0548
19.3879,0.5041,4.7929
20.5484,0.5048,5.9534
