logT_1_zahb,logrho_1_zahb,logT_3_zahb,logrho_3_zahb,logT_10_zahb,logrho_10_zahb,logT_30_zahb,logrho_30_zahb,logT_1_heignite,logrho_1_heignite,logT_3_heignite,logrho_3_heignite,M_zams,logT_zams,logrho_zams,M_zahb,logT_zahb,logrho_zahb
6.568108172,-1.154759828,6.201960207,-2.269556511,5.929870116,-4.214740543,5.842104918,-5.256336435,6.529242003,-2.543053035,6.109248782,-2.67908828,,,,,,
6.571650489,-1.141449206,6.207608417,-2.260571813,5.929872478,-4.214732796,5.846716116,-5.239409268,6.532320759,-2.532194768,6.114627134,-2.670385777,,,,,,
6.575205988,-1.128038568,6.211452601,-2.254430595,5.9298772,-4.214717302,5.851256871,-5.22283638,6.536955867,-2.51601112,6.12022519,-2.6613193,,,,,,
6.578774942,-1.114528779,6.214938789,-2.248906275,5.929886646,-4.214686315,5.855729209,-5.206602768,6.543214091,-2.493976591,6.124613768,-2.654171738,,,,,,
6.582357633,-1.100920767,6.220464523,-2.240133555,5.929905538,-4.214624338,5.860135097,-5.190694381,6.549538775,-2.471743229,6.127599558,-2.649329333,,,,,,
6.585368499,-1.089410999,6.225334771,-2.232336108,5.929943326,-4.214500378,5.864476426,-5.175097941,6.554340217,-2.454728832,6.132175764,-2.641939411,,,,,,
6.587795845,-1.0801439,6.230262177,-2.224523428,5.930018917,-4.214252438,5.868755017,-5.159800874,6.557551305,-2.443472723,6.138595228,-2.631509678,,,,,,
6.591441455,-1.066290912,6.235345527,-2.216370794,5.930170157,-4.213756471,5.872972583,-5.144791063,6.560778129,-2.43216956,6.143836398,-2.622942636,,,,,,
6.597550184,-1.042983971,6.240065844,-2.208866844,5.93047287,-4.212764189,5.877130785,-5.13005712,6.564020497,-2.420819962,6.147648062,-2.616739071,,,,,,
6.603115214,-1.021281154,6.247126175,-2.197616883,5.93107923,-4.210778231,5.881231196,-5.1155881,6.568897831,-2.403925006,6.152392933,-2.609031106,,,,,,
6.606833703,-1.006905886,6.253106701,-2.187979549,5.932295692,-4.206800711,5.885275399,-5.101374043,6.575473399,-2.380944234,6.158050488,-2.599800938,,,,,,
6.611187759,-0.990099075,6.258711835,-2.179059322,5.934743657,-4.198823018,5.891245821,-5.080863313,6.582108135,-2.35779012,6.162781443,-2.592053582,,,,,,
6.616196689,-0.970649807,6.264555981,-2.169633819,5.9403898,-4.180615127,5.899012216,-5.053117326,6.587137432,-2.340089622,6.168127191,-2.583364599,,,,,,
6.619981445,-0.955821602,6.270502049,-2.160155562,5.948668306,-4.153669017,5.904699838,-5.03308331,6.59049804,-2.328394041,6.17477477,-2.572466387,,,,,,
6.622508466,-0.945984058,6.278803787,-2.146817815,5.95606062,-4.129582116,5.908436382,-5.020215794,6.593872622,-2.316658639,6.180925949,-2.56238735,,,,,,
6.626324944,-0.93121911,6.285350325,-2.136211311,5.960838718,-4.114052107,5.913960706,-5.001588938,6.59726103,-2.304884265,6.186519406,-2.55319254,,,,,,
6.631464635,-0.911150698,6.289820036,-2.129014283,5.964058331,-4.103709031,5.9211661,-4.977015892,6.600663125,-2.293071792,6.191567895,-2.544905561,,,,,,
6.635347908,-0.895855922,6.294412597,-2.121612858,5.968479931,-4.089629015,5.926455919,-4.958800606,6.604078771,-2.281222114,6.19611314,-2.537418466,,,,,,
6.637940365,-0.885714467,6.299109787,-2.113961652,5.974197002,-4.071363972,5.929935063,-4.947062883,6.609212148,-2.263608396,6.201064445,-2.529302516,,,,,,
6.640540106,-0.875537047,6.306279976,-2.102164706,5.97919365,-4.055380392,5.933374746,-4.935492204,6.616123002,-2.239684553,6.207304094,-2.519022786,,,,,,
6.643147058,-0.865324065,6.313826663,-2.089130734,5.983398714,-4.042027579,5.936775893,-4.924083318,6.623085833,-2.215628193,6.212487854,-2.510435665,,,,,,
6.647062134,-0.850086778,6.318978051,-2.080172831,5.987668998,-4.028497056,5.940603468,-4.91133471,6.628356865,-2.197266674,6.217639389,-2.501964707,,,,,,
6.652317748,-0.82944591,6.324278764,-2.070818107,5.992005701,-4.0147847,5.944839508,-4.8972087,6.631876242,-2.18515216,6.222703387,-2.493545909,,,,,,
6.656949301,-0.811165672,6.329746656,-2.061027904,5.996153618,-4.001677004,5.949017684,-4.883321238,6.635407849,-2.173008527,6.227910756,-2.484978661,,,,,,
6.660937383,-0.795470189,6.338200304,-2.045816985,6.000096397,-3.989258548,5.953139833,-4.869664331,6.638951533,-2.16083667,6.234427506,-2.474142778,,,,,,
6.664940068,-0.779701598,6.347376214,-2.028482094,6.006078954,-3.970657028,5.957207692,-4.856230299,6.644273968,-2.142764786,6.240554599,-2.463979942,,,,,,
6.668957024,-0.763861468,6.353733979,-2.016426863,6.012034182,-3.951751941,5.961222958,-4.84301199,6.649653659,-2.124146548,6.246291045,-2.454408607,,,,,,
6.672998696,-0.747909898,6.360386125,-2.003619568,6.015737171,-3.940173205,5.967155616,-4.823897098,6.653244247,-2.111870806,6.251593023,-2.445593957,,,,,,
6.677065022,-0.731845455,6.365634828,-1.993287799,6.02116421,-3.922304673,5.974888457,-4.79864527,6.658635796,-2.093652278,6.256768101,-2.436940672,,,,,,
6.681144832,-0.715713787,6.369216567,-1.986222326,6.028460358,-3.899567558,5.980562683,-4.779904629,6.664083125,-2.074889676,6.262000697,-2.428227776,,,,,,
6.685237831,-0.699516691,6.37472296,-1.975332982,6.034472525,-3.880745594,5.984293196,-4.767841761,6.667717864,-2.062523611,6.267079449,-2.419699843,,,,,,
6.690024141,-0.68063346,6.382506826,-1.959529577,6.039067605,-3.866514577,5.987980739,-4.755950913,6.671363061,-2.050136809,6.272980841,-2.409886458,,,,,,
6.695520755,-0.658839111,6.388916545,-1.946141562,6.043732145,-3.852099623,5.991626517,-4.744227108,6.675018466,-2.037729944,6.279378784,-2.399075582,,,,,,
6.699666474,-0.642260381,6.393597834,-1.936305054,6.048467732,-3.837497219,5.99523168,-4.732665559,6.680504803,-2.019326362,6.285630319,-2.388639389,,,,,,
6.702431285,-0.631289421,6.399450725,-1.923874366,6.05233957,-3.825511163,5.998797382,-4.721261914,6.687873313,-1.994385623,6.292112441,-2.377641025,,,,,,
6.706590536,-0.614907927,6.406478037,-1.90853836,6.055293934,-3.816431485,6.003453169,-4.706567981,6.693438585,-1.975385796,6.297995243,-2.367776845,,,,,,
6.712172683,-0.592724867,6.412395485,-1.895268069,6.059759404,-3.802840579,6.00914977,-4.688473321,6.697149248,-1.962870643,6.305983428,-2.35428128,,,,,,
6.716386926,-0.575837723,6.419106873,-1.88015736,6.064325903,-3.788743358,6.014721535,-4.661753374,6.700867828,-1.950338969,6.313529614,-2.341456457,,,,,,
6.719204303,-0.564638131,6.427533818,-1.860355373,6.067394051,-3.779367785,6.020165128,-4.64211729,6.704593931,-1.937791131,6.3203899,-2.329818838,,,,,,
6.723430471,-0.547967134,6.435399151,-1.841410494,6.072032174,-3.765335479,6.025511426,-4.623590087,6.708327175,-1.925227499,6.327693549,-2.317403575,,,,,,
6.727684407,-0.530904605,6.442624662,-1.823460907,6.079692055,-3.742186666,6.030764868,-4.604848573,6.712067202,-1.912648489,6.334204323,-2.306263308,,,,,,
6.730520337,-0.519623002,6.449203166,-1.806825756,6.086675718,-3.720768739,6.03848264,-4.57710314,6.71767473,-1.894,6.340554131,-2.29546401,,,,,,
6.734067779,-0.505565506,6.455189809,-1.791280639,6.091386107,-3.706552928,6.046470369,-4.544658756,6.723324873,-1.874809422,6.349752758,-2.279810844,,,,,,
6.738337766,-0.488571259,6.461762705,-1.774102995,6.095689849,-3.693565412,6.052342963,-4.525623818,6.727089195,-1.862174098,6.358069439,-2.265366931,,,,,,
6.742617185,-0.471538324,6.468117513,-1.756801376,6.09955857,-3.681948552,6.058116262,-4.507073961,6.730858933,-1.849526158,6.365252938,-2.252989197,,,,,,
6.745837725,-0.458642172,6.472417757,-1.745061261,6.103473207,-3.670221246,6.063794205,-4.488983997,6.7346339,-1.836866285,6.374848857,-2.235230373,,,,,,
6.747984371,-0.450100472,6.477278084,-1.731641355,6.107434776,-3.658382337,6.07157826,-4.464873367,6.738413934,-1.824195209,6.383430308,-2.218353788,,,,,,
6.750495964,-0.440127548,6.484416161,-1.711727262,6.112444508,-3.643530593,6.078907022,-4.441508294,6.742198899,-1.811513696,6.391093056,-2.202693556,,,,,,
6.753376276,-0.428666913,6.491584335,-1.690830717,6.118577133,-3.625317249,6.083713681,-4.426642541,6.747871154,-1.792722974,6.397774818,-2.188356458,,,,,,
6.757695137,-0.411622815,6.496558662,-1.676301088,6.124824444,-3.606839834,6.088457177,-4.412074197,6.753582642,-1.773400621,6.403270608,-2.176277053,,,,,,
6.762045255,-0.394173131,6.501759474,-1.660898292,6.131189948,-3.588092649,6.093139905,-4.397792381,6.757386644,-1.760685862,6.408600545,-2.164187866,,,,,,
6.76495182,-0.382615137,6.506530427,-1.646521128,6.136602858,-3.572125666,6.09776418,-4.383786988,6.761195213,-1.747964921,6.413727921,-2.152261592,,,,,,
