Age,Mass,14Nsurf
451612355.7,2.995512503,2.35E-03
451623272.5,2.99551172,2.35E-03
451633961.3,2.995510921,2.35E-03
451644619.2,2.99551009,2.35E-03
451655297.9,2.995509221,2.35E-03
451666186.8,2.995508296,2.35E-03
451677495.8,2.995507294,2.35E-03
451689593.4,2.995506174,2.35E-03
451703285.1,2.995504848,2.35E-03
451721132.3,2.995503042,2.35E-03
451765152.8,2.995498386,2.35E-03
451796421.6,2.995495118,2.35E-03
451823046.6,2.995492458,2.35E-03
451853119.2,2.995489588,2.35E-03
451894661.8,2.995485802,2.35E-03
451951777.2,2.995480808,2.35E-03
452026623.8,2.995474524,2.35E-03
452136644.1,2.995465637,2.35E-03
452312821.5,2.99545184,2.35E-03
452560273.1,2.99543273,2.35E-03
452861196.2,2.995409496,2.35E-03
453168970.5,2.995385626,2.35E-03
453373083.3,2.995369342,2.35E-03
453538838.9,2.995355533,2.35E-03
453695352.1,2.995341909,2.35E-03
453848832.5,2.995327959,2.35E-03
453998095.4,2.995313785,2.35E-03
454142173.5,2.995299484,2.35E-03
454280694.2,2.995285116,2.35E-03
454413934.3,2.995270672,2.35E-03
454542290.7,2.995256123,2.35E-03
454665987.2,2.995241461,2.35E-03
454785760.2,2.995226607,2.35E-03
454902314.5,2.995211492,2.35E-03
455016011.1,2.99519607,2.35E-03
455130400.1,2.99517984,2.35E-03
455241873.2,2.995163307,2.35E-03
455347714.8,2.995146888,2.35E-03
455450390.4,2.995130226,2.35E-03
455549188.2,2.995113458,2.35E-03
455643453.4,2.995096725,2.35E-03
455734140.6,2.995079884,2.35E-03
455822781.2,2.995062665,2.35E-03
455908148.7,2.995045318,2.35E-03
455990416.2,2.995027821,2.35E-03
456070232.4,2.995010062,2.35E-03
456147018.2,2.994992193,2.35E-03
456220903.8,2.994974206,2.35E-03
456292230.8,2.994956043,2.35E-03
456361126.4,2.99493769,2.35E-03
456427942.3,2.994919063,2.35E-03
456492329.4,2.994900277,2.35E-03
456554406.5,2.994881332,2.35E-03
456614029.7,2.9948623,2.35E-03
456671751.7,2.994843025,2.35E-03
456727649.2,2.994823491,2.35E-03
456782219.6,2.994803527,2.35E-03
456835313.5,2.994783203,2.35E-03
456887099.6,2.994762462,2.35E-03
456937778.9,2.994741225,2.35E-03
456987187,2.994719564,2.35E-03
457035414.3,2.994697443,2.35E-03
457082628.4,2.994674784,2.35E-03
457128621.9,2.994651693,2.35E-03
457173568.3,2.994628078,2.35E-03
457217475.9,2.994603939,2.35E-03
457260444.6,2.994579252,2.35E-03
457302417.4,2.994554011,2.35E-03
457343477.4,2.99452817,2.36E-03
457383543.7,2.994501786,2.36E-03
457422682.4,2.994474835,2.36E-03
457460989.7,2.994447234,2.36E-03
457498481.1,2.994418982,2.36E-03
457535234.4,2.994390014,2.36E-03
457571198.3,2.994360359,2.36E-03
457606447.7,2.994329944,2.36E-03
457640977,2.994298778,2.36E-03
457674910.5,2.994266741,2.36E-03
457708234,2.994233838,2.36E-03
457741018.7,2.994199983,2.36E-03
457773212.5,2.994165216,2.37E-03
457805076.5,2.9941292,2.37E-03
457836563,2.99409199,2.37E-03
457867757.7,2.99405345,2.37E-03
457898745.2,2.994013397,2.37E-03
457929493.4,2.993971847,2.37E-03
457960347.5,2.993928247,2.37E-03
457991079.8,2.993882856,2.37E-03
458021995.3,2.993835103,2.37E-03
458053053.5,2.993784971,2.37E-03
458084624.1,2.993731717,2.37E-03
458116220.9,2.993676039,2.37E-03
458147797.2,2.993617912,2.37E-03
458178832.4,2.993558259,2.37E-03
458208155.5,2.993499406,2.37E-03
458235228.5,2.993442675,2.37E-03
458259787.6,2.993388902,2.37E-03
458282045.1,2.993338,2.37E-03
458326112.1,2.993230342,2.38E-03
458365129.6,2.993126259,2.38E-03
458396795.5,2.993033441,2.38E-03
458424349.7,2.992944699,2.38E-03
458449339.7,2.992849838,2.38E-03
458472688.3,2.992740073,2.38E-03
458496304.7,2.992597722,2.38E-03
458520517.9,2.992406956,2.38E-03
458545877.2,2.992149409,2.38E-03
458572215.3,2.991803384,2.38E-03
458596421.2,2.991389419,2.38E-03
458624614.7,2.990765615,2.38E-03
458656727.4,2.989855967,2.38E-03
458678313.9,2.989090365,2.38E-03
458689581.9,2.988651468,2.38E-03
458711710.3,2.987571093,2.38E-03
458726528,2.986704611,2.38E-03
458737575.6,2.986062191,2.38E-03
458747306,2.985326312,2.38E-03
458750407.2,2.985086033,2.38E-03
458755096,2.984818823,2.38E-03
458758376.4,2.984630334,2.38E-03
458761434.7,2.984404494,2.38E-03
458764725.6,2.984090226,2.38E-03
458768197.6,2.983663752,2.38E-03
458772480.5,2.982983939,2.38E-03
458780488.1,2.981359622,2.38E-03
458782700,2.980925204,2.38E-03
458782751.1,2.980917536,2.38E-03
458782770.1,2.980915354,2.38E-03
458782786.6,2.980913867,2.38E-03
458782802.4,2.980912745,2.38E-03
458782819,2.980911824,2.38E-03
458782852.3,2.980910443,2.38E-03
458782876.3,2.980909449,2.38E-03
458782892,2.980908646,2.38E-03
458782905.6,2.98090779,2.38E-03
458782918.3,2.980906753,2.38E-03
458782930.3,2.980905487,2.38E-03
458782942.1,2.980903898,2.38E-03
458782953.8,2.98090188,2.38E-03
458782965.6,2.980899216,2.38E-03
458782977.7,2.980895683,2.38E-03
458782990.5,2.980890989,2.38E-03
458783004.3,2.980884594,2.38E-03
458783019.8,2.98087517,2.38E-03
458783038.3,2.980860932,2.38E-03
458783064.1,2.980834435,2.38E-03
458783113.9,2.980766193,2.38E-03
458783234.7,2.980579169,2.38E-03
458783286.3,2.980516084,2.38E-03
458783333.3,2.980470443,2.38E-03
458783384,2.980431682,2.38E-03
458783448.6,2.980393822,2.38E-03
458783831.5,2.980231705,2.38E-03
458784108.3,2.980126068,2.38E-03
458784389.9,2.980042346,2.38E-03
458784766.3,2.979954551,2.38E-03
458785210.1,2.979871549,2.38E-03
458785707.1,2.979799682,2.38E-03
458786252.4,2.979736868,2.38E-03
458786848.6,2.979683164,2.38E-03
458787505.1,2.979637663,2.38E-03
458788218.6,2.979598367,2.38E-03
458788998.6,2.979564876,2.38E-03
458789890.3,2.979535485,2.38E-03
458791020.3,2.979506329,2.38E-03
458794363.8,2.9794428,2.38E-03
458796162.9,2.979404581,2.38E-03
458797654.4,2.979364429,2.38E-03
458799104.1,2.979314331,2.38E-03
458800635.6,2.979245932,2.38E-03
458802383.4,2.979145761,2.38E-03
458804470.2,2.978991089,2.38E-03
458806815.4,2.978768376,2.38E-03
458809439.5,2.978447495,2.38E-03
458812303.5,2.978000685,2.38E-03
458815239.8,2.977423608,2.38E-03
458819804.8,2.976249798,2.38E-03
458828962.8,2.973139019,2.38E-03
458834116.5,2.971192534,2.38E-03
458834306.3,2.971136367,2.38E-03
458834322.7,2.971132677,2.38E-03
458834336.1,2.971130321,2.38E-03
458834348.9,2.971128563,2.38E-03
458834361.8,2.97112716,2.38E-03
458834376.8,2.971125897,2.38E-03
458834411.5,2.971123541,2.38E-03
458834428.4,2.971122205,2.38E-03
458834442,2.97112087,2.38E-03
458834454.3,2.971119374,2.38E-03
458834465.9,2.971117635,2.38E-03
458834477,2.971115445,2.38E-03
458834487.9,2.971112609,2.38E-03
458834498.9,2.971108938,2.38E-03
458834510,2.971104141,2.38E-03
458834521.5,2.971097756,2.38E-03
458834534,2.971089086,2.38E-03
458834547.6,2.971076965,2.38E-03
458834563.7,2.971058583,2.38E-03
458834584.4,2.971027737,2.38E-03
458834615.5,2.97096656,2.38E-03
458834727.6,2.970662812,2.38E-03
458834797.9,2.970482447,2.38E-03
458834850.6,2.97037351,2.38E-03
458834906.1,2.970282785,2.38E-03
458834973.6,2.97019777,2.38E-03
458835090.2,2.97008827,2.38E-03
458835430.1,2.969839272,2.38E-03
458835694.1,2.969682543,2.38E-03
458835971.5,2.969550708,2.38E-03
458836300.8,2.969429177,2.38E-03
458836672.4,2.96932015,2.38E-03
458837083.5,2.969225662,2.38E-03
458837537.4,2.969144972,2.38E-03
458838025.3,2.969076014,2.38E-03
458838549.3,2.969017876,2.38E-03
458839114.1,2.968969914,2.38E-03
458839713.5,2.968929591,2.38E-03
458840364.4,2.968895145,2.38E-03
458841155.8,2.968863563,2.38E-03
458843307.1,2.968800836,2.38E-03
458844780.5,2.968756515,2.38E-03
