#
# Pleiades Rotation Data (Godoy-Rivera et al. 2021)
#
# Reduced to 3 columns:
#  Period = rotation period in days
#  GaiaDR2_ID = star ID in the Gaia DR2 catalog
#  BP-RP = observed Gaia B-R color index
#
Period   GaiaDR2_ID            BP-RP     
0.8817   65819965792011904     0.7036648 
1.545    65701527774387840     2.951334  
0.6897   66581961710329984     0.9789829 
4.548    51742471745296768     0.92410946
3.0576   65800930496992512     1.7062473 
0.3486   65814979333012352     3.3338032 
4.6203   66581549393480704     1.7922897 
2.7745   63795455648004608     2.3015623 
0.2253   66624357329718400     3.3338776 
8.798    66612473157921024     1.6833906 
1.182    67069835634816896     2.7422886 
1.828    65823676643738368     2.7150316 
2.4272   50856471531291648     2.6872692 
3.0184   65750627840192256     1.7419338 
5.5586   51674920499533184     0.9830885 
0.5027   65807218329068544     3.1447163 
1.4066   51730067879582080     2.2094898 
2.4597   67074096242336384     2.7130194 
0.5959   51681655008229632     2.7574663 
7.2256   65864427293364864     1.3499613 
1.1199   51365476695288064     2.7251406 
0.8741   67019150723650560     4.039503  
1.1343   65783029073414144     2.340931  
0.6128   51677669278703104     2.7664366 
3.3228   66997817623367296     1.7234325 
0.6439   50101210121892992     3.034954  
14.5813  65435102362687616     2.119237  
2.1138   65844361206181376     2.0515623 
0.4551   65830548591559936     2.9292412 
1.0307   51257621476724096     2.7212877 
7.2904   65781345446197504     1.3671427 
2.1843   65779971056668032     2.994378  
7.798    65787289680918528     1.1547127 
0.9594   65419434321982464     2.6708126 
1.6758   65768151306811904     1.9829102 
1.4233   67034994860213888     2.5575714 
0.5421   67054305033161344     2.992424  
0.8022   53296592774129920     3.5235748 
0.3022   65772789871345024     3.1951218 
0.6209   65775195052996608     2.9635305 
0.2924   65467778474649856     3.3761234 
0.6841   65349684053273600     3.1584415 
0.7786   66280248847432192     2.7236786 
0.2592   53332571717238400     3.399313  
0.5426   66161020555461120     3.0316734 
1.8839   53335045618385536     1.9098167 
0.9536   53227396558316416     3.1994324 
0.4423   65471729844532864     1.5475569 
0.7319   51505217751483392     2.6674147 
4.0454   53251929411490688     2.5616808 
0.547    51492264130122496     3.1788025 
0.5733   53258732639653760     3.0867653 
0.5797   53255434104774272     2.9877748 
0.4124   65506467539939584     3.1046    
0.1296   65507807569730304     3.2949934 
5.3682   50649832062271360     2.3718204 
0.2419   53251517094713728     3.1043491 
1.5063   65486951208575488     2.7849026 
1.1983   53029278307021696     2.8755627 
0.5601   53341642688604416     2.8812294 
0.2352   53465573967635456     3.412094  
0.5678   66289044940711168     3.0179443 
1.1256   53864804065393536     2.6673594 
0.3081   53892669813156736     3.0884562 
3.4652   52097609703557248     2.244339  
0.7516   53140397701490176     2.9250345 
0.2252   53174379482675456     3.2444725 
5.2158   53563915834929024     2.8213987 
1.4102   53105728725582976     2.1234694 
6.7602   53758254515062784     2.0442677 
