#
# Main-sequence Mass-Luminosity-Radius data from Eker et al. 2018, MNRAS, 479, 5491
# Derived from a CSV file provided by Eker to the authors.
#
# Columns are logarithmic mass, radius, gravity, and luminosity, with errors
# all in solar units
#
ID     logM       errM       logR       errR       logg       errg       logL       errL   
204    0.24650    0.00295    0.37291    0.01104    3.93900    0.02200    1.13659    0.03939
206    0.91645    0.00895    0.54283    0.00373    4.26900    0.01200    3.65008    0.01297
207   -0.16178    0.01009   -0.15058    0.00430    4.57800    0.01300   -0.81461    0.08949
211    0.78297    0.00079    0.61066    0.00319    4.00000    0.00600    3.19710    0.05464
212    0.77466    0.00080    0.59550    0.00331    4.02200    0.00700    3.14541    0.05547
213    0.04021    0.02890    0.06483    0.00748    4.34900    0.03300   -0.05163    0.01730
214   -0.17718    0.02025   -0.20066    0.00689    4.66200    0.02400   -0.98493    0.01673
215    0.34223    0.00316    0.32118    0.00415    4.13800    0.00900    1.46107    0.03647
216    0.21112    0.00240    0.19312    0.00557    4.26300    0.01100    0.87286    0.05207
217    0.29513    0.00792    0.32818    0.00306    4.07700    0.01000    1.22341    0.04955
218    0.17173    0.00497    0.17202    0.00643    4.26600    0.01400    0.65413    0.06321
219   -0.12033    0.01833   -0.11407    0.00678    4.54600    0.02300   -0.71551    0.07332
220   -0.11862    0.01198   -0.11577    0.00737    4.55100    0.01900   -0.71890    0.07451
221    0.96595    0.00564    0.63276    0.00607    4.13900    0.01300    3.72652    0.04863
222    0.92737    0.00616    0.60778    0.00643    4.15000    0.01400    3.58668    0.05129
224    0.12385    0.02939    0.13354    0.00319    4.29500    0.03000    0.38010    0.06138
225    0.09864    0.00277    0.10653    0.00238    4.32400    0.00600    0.41941    0.01812
226    0.08600    0.00249    0.08636    0.00249    4.35200    0.00600    0.35213    0.01856
227    0.07151    0.00479    0.18127    0.00658    4.14700    0.01400    0.40153    0.03082
228   -0.01773    0.00452    0.06371    0.00488    4.29300    0.01100   -0.08863    0.03020
229   -0.30190    0.00174   -0.34008    0.00475    4.81700    0.01000   -1.44330    0.01884
230   -0.35262    0.00196   -0.36957    0.00407    4.82500    0.00800   -1.54482    0.01771
231    0.05154    0.03471   -0.01863    0.01088    4.52700    0.04100    0.06698    0.04075
232    0.03342    0.03901    0.07809    0.01524    4.31600    0.05000    0.14683    0.04833
233    0.17782    0.01009    0.35832    0.00381    3.90000    0.01300    0.91145    0.05066
234    0.18013    0.01147    0.35832    0.00381    3.90200    0.01400    0.91145    0.05066
235    1.05465    0.00460    0.65906    0.00428    4.17500    0.01000    4.05523    0.07083
236    1.02637    0.00572    0.63337    0.00556    4.19800    0.01200    3.91441    0.07667
237    0.06296    0.00827    0.10346    0.01780    4.29400    0.03700    0.41327    0.10241
238    0.05538    0.00841    0.09621    0.02158    4.30100    0.04400    0.39878    0.10996
239    0.55691    0.00964    0.65167    0.00397    3.69200    0.01200    2.53818    0.03603
240    0.42029    0.00825    0.34361    0.00807    4.17100    0.01800    1.82320    0.05214
241    1.35856    0.00607    0.97109    0.00789    3.85500    0.01700    5.02279    0.11797
242    1.32993    0.00668    0.92143    0.00833    3.92500    0.01800    4.92346    0.11884
243   -0.40340    0.00220   -0.41908    0.00570    4.87300    0.01200   -1.94000    0.10334
244   -0.56225    0.00159   -0.52288    0.00724    4.92200    0.01500   -2.21060    0.11040
245    0.11992    0.00231    0.21722    0.01132    4.12400    0.02300    0.59090    0.08866
246    0.10958    0.00236    0.17955    0.01407    4.18900    0.02800    0.48056    0.08736
248    0.92788    0.00513    0.61469    0.00158    4.13700    0.00600    3.80176    0.00440
249    0.09934    0.03282    0.09968    0.00345    4.33800    0.03400    0.40945    0.04157
250    0.05077    0.03516    0.05614    0.00382    4.37700    0.03600    0.21171    0.01389
251    0.70070    0.01125    0.55509    0.00423    4.02900    0.01400    2.84848    0.06379
252    0.68395    0.01169    0.54345    0.00422    4.03500    0.01400    2.79167    0.06485
253    0.29623    0.00220    0.52827    0.00129    3.67800    0.00300    1.26290    0.05602
254    0.17984    0.00230    0.21748    0.00211    4.18300    0.00500    0.67781    0.05655
255   -0.00833    0.00531    0.02612    0.00654    4.37800    0.01400   -0.00964    0.04427
