#
# Solar Spectrum
# Source:
#   Spectrum: ASTM E-490-000 Solar Spectrum
#   Blackbody: T=5772K
# Lam: wavelength in Angstroms
# Sun: Solar spectral irradiance in erg/s/cm^2/A
# bb5772: T=5772K black body irradiance in erg/s/cm^2/A
#
Lam      Sun          bb5772
  1074.  627.599976  616.543213
  1076.  628.  613.764648
  1078.  627.200012  610.99939
  1080.  624.700012  608.247681
  1082.  609.900024  605.509583
  1084.  618.  602.78479
  1086.  620.799988  600.073486
  1088.  610.299988  597.375488
  1090.  619.900024  594.690552
  1092.  615.900024  592.019104
  1094.  584.900024  589.360718
  1096.  598.299988  586.71521
  1098.  596.099976  584.082886
  1100.  604.200012  581.463501
  1102.  593.200012  578.856995
  1104.  597.400024  576.263367
  1106.  594.5  573.682678
  1108.  591.599976  571.114502
  1110.  590.599976  568.559143
  1112.  584.299988  566.016235
  1114.  584.400024  563.486023
  1116.  583.099976  560.968323
  1118.  581.5  558.462952
  1120.  574.099976  555.970154
  1122.  579.599976  553.489441
  1124.  576.900024  551.02124
  1126.  565.5  548.565125
  1128.  570.  546.121216
  1130.  565.299988  543.689453
  1132.  567.799988  541.269592
  1134.  563.799988  538.861816
  1136.  565.799988  536.465942
  1138.  556.900024  534.08197
  1140.  553.  531.709839
  1142.  553.099976  529.349426
  1144.  551.400024  527.000854
  1146.  554.799988  524.663818
  1148.  552.5  522.338318
  1150.  548.900024  520.024475
  1152.  545.799988  517.722107
  1154.  547.900024  515.43103
  1156.  545.5  513.151489
  1158.  543.5  510.88327
  1160.  532.  508.626221
  1162.  532.5  506.380493
  1164.  533.200012  504.145935
  1166.  530.299988  501.922302
  1168.  531.200012  499.709808
  1170.  527.599976  497.508362
  1172.  531.5  495.31781
  1174.  527.299988  493.138214
  1176.  518.400024  490.96936
  1178.  519.  488.811249
  1180.  523.900024  486.664032
  1182.  515.900024  484.527405
  1184.  510.299988  482.401337
  1186.  518.700012  480.28598
  1188.  507.5  478.181091
  1190.  508.5  476.086639
  1192.  516.099976  474.002502
  1194.  514.5  471.928741
  1196.  508.399994  469.865387
  1198.  494.299988  467.812256
  1200.  500.299988  465.76947
  1202.  506.799988  463.736694
  1204.  494.799988  461.713959
  1206.  503.899994  459.701355
  1208.  489.  457.698792
  1210.  488.200012  455.706024
  1212.  493.299988  453.723236
  1214.  494.200012  451.750488
  1216.  493.  449.787323
  1218.  489.700012  447.833893
  1220.  487.5  445.890228
  1222.  485.399994  443.956207
  1224.  484.600006  442.03183
  1226.  481.700012  440.117004
  1228.  477.100006  438.211792
  1230.  479.200012  436.315704
  1232.  475.  434.429291
  1234.  472.899994  432.552216
  1236.  471.899994  430.684387
  1238.  470.299988  428.825806
  1240.  465.299988  426.976471
  1242.  464.200012  425.136261
  1244.  461.899994  423.305359
  1246.  463.5  421.483185
  1248.  463.299988  419.670349
  1250.  462.399994  417.866394
  1252.  457.100006  416.071411
  1254.  457.399994  414.285217
  1256.  455.100006  412.507965
  1258.  453.299988  410.739441
  1260.  453.  408.979675
  1262.  449.700012  407.228638
  1264.  447.799988  405.486328
  1266.  446.700012  403.752502
  1268.  441.700012  402.027374
  1270.  445.299988  400.310669
  1272.  445.200012  398.602448
  1274.  443.100006  396.90271
  1276.  445.100006  395.211395
  1278.  444.  393.528381
  1280.  435.600006  391.853668
  1282.  401.399994  390.187256
  1284.  425.899994  388.529022
  1286.  432.799988  386.878967
  1288.  431.399994  385.23703
  1290.  425.5  383.603271
  1292.  425.399994  381.977539
  1294.  422.299988  380.359772
  1296.  422.399994  378.749969
  1298.  418.399994  377.148102
  1300.  418.600006  375.554169
  1302.  413.899994  373.968018
  1304.  411.100006  372.389679
  1306.  413.600006  370.819122
