ID F555W F439W Color errF555W errF439W errColor
200261 24.4888 25.9089  1.4201 0.2549 0.2262 0.3408
200262 24.4438 24.6849  0.2411 0.2534 0.1029 0.2735
200263 24.5618 25.4909  0.9291 0.2958 0.1451 0.3295
200264 22.6618 21.7449 -0.9169 0.1791 0.0542 0.1871
    40 18.1308 18.8139  0.6831 0.0165 0.0106 0.0196
200265 25.1018 25.1059  0.0041 0.4651 0.1699 0.4952
200266 14.8768 15.9249  1.0481 0.0179 0.0138 0.0226
    43 16.5478 17.1039  0.5561 0.0134 0.0100 0.0167
    44 18.1578 18.8639  0.7061 0.0192 0.0142 0.0239
200268 24.4788 25.2339  0.7551 0.3676 0.1412 0.3938
200269 23.4018 22.7299 -0.6719 0.2456 0.0492 0.2505
200270 25.0378 25.9839  0.9461 0.5586 0.2280 0.6033
200271 24.5518 25.7309  1.1791 0.3644 0.2345 0.4333
200272 24.6658 25.2819  0.6161 0.3052 0.1382 0.3350
200275 25.1588 26.3599  1.2011 0.3731 0.3299 0.4980
200274 24.8438 25.6539  0.8101 0.4171 0.1823 0.4552
200276 24.3138 25.4709  1.1571 0.2762 0.2149 0.3500
200277 23.4798 23.8889  0.4091 0.1327 0.0754 0.1526
200278 23.3378 24.4929  1.1551 0.1533 0.0975 0.1817
    45 19.5728 20.5839  1.0111 0.0206 0.0163 0.0263
200280 24.3798 25.0509  0.6711 0.2171 0.1410 0.2589
    46 18.1608 18.8279  0.6671 0.0160 0.0117 0.0198
200281 24.8728 25.2839  0.4111 0.4805 0.1697 0.5096
200282 22.6668 20.2129 -2.4539 0.4757 0.0283 0.4765
200283 21.3178 22.7389  1.4211 0.0349 0.0290 0.0454
200284 24.5118 25.7339  1.2221 0.4783 0.2096 0.5222
200285 19.8768 21.5029  1.6261 0.0222 0.0177 0.0284
200286 22.2198 23.7709  1.5511 0.0479 0.0490 0.0685
200287 23.3188 25.0119  1.6931 0.1056 0.1185 0.1587
200288 25.1628 25.7439  0.5811 0.2715 0.1824 0.3271
    47 13.8828 13.9489  0.0661 0.0291 0.0185 0.0345
200289 23.6648 24.5119  0.8471 0.1627 0.1187 0.2014
    48 18.5028 19.2559  0.7531 0.0174 0.0109 0.0205
200290 25.6738 25.8019  0.1281 0.9731 0.2119 0.9959
200291 25.1128 26.1459  1.0331 0.3006 0.2328 0.3802
200292 24.4658 25.8239  1.3581 0.3107 0.2531 0.4007
200293 24.6428 25.4989  0.8561 0.3950 0.2049 0.4450
200294 24.7678 25.2969  0.5291 0.4436 0.1669 0.4740
    50 18.2138 18.9099  0.6961 0.0171 0.0110 0.0203
200295 25.1098 25.6669  0.5571 0.4094 0.1874 0.4503
    49 19.4758 20.4129  0.9371 0.0204 0.0204 0.0288
    51 16.9798 17.5479  0.5681 0.0143 0.0103 0.0176
200296 24.9228 25.6999  0.7771 0.5436 0.2419 0.5950
200297 25.2448 25.5479  0.3031 0.4683 0.2158 0.5156
200298 22.8208 23.7739  0.9531 0.1551 0.0701 0.1702
200299 25.5408 24.5679 -0.9729 1.0124 0.1167 1.0191
200300 23.9228 25.1369  1.2141 0.1891 0.1081 0.2178
200301 25.6688 24.6969 -0.9719 0.9884 0.1187 0.9955
200302 25.3228 26.0149  0.6921 0.6534 0.2785 0.7103
200303 24.8598 25.7459  0.8861 0.4160 0.2073 0.4648
200304 18.9828 19.8109  0.8281 0.0180 0.0131 0.0223
200306 24.5058 24.9769  0.4711 0.5773 0.1373 0.5934
200305 25.9688 26.1269  0.1581 1.0362 0.2918 1.0765
200307 25.4218 25.8639  0.4421 0.5193 0.2437 0.5736
200308 25.5038 25.8719  0.3681 1.4211 0.0379 1.4216
200309 25.2528 25.6169  0.3641 0.2925 0.1794 0.3431
    52 16.9338 17.4839  0.5501 0.0146 0.0114 0.0185
200310 21.1898 20.6939 -0.4959 0.2709 0.0474 0.2750
200311 24.6128 26.1339  1.5211 0.4484 0.2151 0.4973
    53 16.8038 17.3509  0.5471 0.0165 0.0104 0.0195
    55 18.5918 19.3139  0.7221 0.0178 0.0124 0.0217
200312 21.2478 22.0629  0.8151 0.0945 0.0442 0.1043
200313 23.5128 24.6109  1.0981 0.1334 0.1055 0.1701
    54 19.3678 20.2909  0.9231 0.0174 0.0139 0.0223
200314 24.6348 25.4019  0.7671 0.3627 0.1145 0.3803
200315 25.3098 25.9649  0.6551 0.4551 0.2454 0.5170
200316 25.0068 25.4229  0.4161 0.6770 0.2442 0.7197
    56 19.0078 19.8299  0.8221 0.0186 0.0130 0.0227
