KIC,2MASS,Age,Mass,Prot
7499271,18411016+4308560,5.32,0.70,31.93
7500161,18430791+4307392,4.29,0.92,26.30
7585207,18501265+4315065,5.35,0.89,29.37
7609669,19295487+4317449,5.06,0.74,31.27
7611783,19323117+4316071,0.69,0.79,7.30
7673194,19132893+4322431,6.65,0.87,34.23
7676737,19191768+4321044,7.64,0.64,40.70
7677767,19204433+4323291,4.55,0.55,27.99
7678060,19210759+4322281,1.77,0.80,15.32
7692454,19400298+4319352,2.88,0.49,16.64
7694241,19421316+4322492,7.09,0.75,36.18
7698553,19470824+4320413,1.52,0.74,14.29
7731778,18475095+4329425,8.62,0.73,43.32
7744840,19150864+4324437,5.43,0.58,31.28
7816419,19191827+4335300,8.17,0.59,40.70
7871531,18513961+4338099,7.54,0.75,34.62
7872765,18541118+4338004,3.59,1.37,64.75
7878794,19071344+4337473,1.86,0.63,15.97
7887457,19222125+4340358,5.11,0.87,28.38
7900214,19393402+4337507,8.42,0.70,41.56
7902000,19414512+4339116,1.30,0.73,11.85
7906865,19472031+4339037,3.40,0.65,24.88
7939565,18501597+4345164,1.62,0.38,3.99
7949846,19113343+4346132,4.40,0.49,26.30
7986589,19581072+4342501,4.75,0.94,27.21
8040551,19425519+4352472,1.92,0.64,16.08
8042251,19445977+4352556,2.01,0.62,16.08
8056853,19592881+4349349,1.10,0.66,9.90
8099075,19292311+4355577,3.29,0.74,24.03
8123801,19574679+4357235,4.43,0.70,28.78
8125304,19591784+4359338,9.79,0.70,46.43
8143903,18461575+4400134,7.35,0.41,43.92
8143943,18462255+4401511,9.01,0.75,40.98
8144913,18490051+4401513,2.64,0.94,18.99
8146477,18523216+4400080,9.74,0.73,47.07
8176468,19413700+4403437,1.05,0.63,8.80
8180580,19463664+4405289,1.56,0.78,14.19
8183385,19492868+4405084,2.49,0.64,20.21
8184075,19500855+4401047,4.72,0.80,25.39
8242434,19394922+4408593,7.61,0.79,38.24
8282492,18560576+4416410,0.94,0.82,9.76
8311074,19430091+4417264,1.06,0.89,10.75
8316388,19490441+4413043,5.31,0.64,31.93
8324116,19564033+4416312,6.86,0.78,34.97
8324632,19571325+4417563,8.20,0.82,39.59
8329532,20025761+4414233,7.70,0.50,39.86
8350612,19000597+4421034,6.93,0.55,37.71
